State,Census Division,Census Region,Gender,Age Group,Gender&Age,Education,Annual Income,Checking Account,Savings Account,Overdraw,Other Investments,Other Retirement Accounts,Number of Credit Cards,Credit Card Balance Interest,Emergency Funds,Retirement Planning,Health Insurance,Financial Confidence,Financial Knowledge,Emergency Funds_score,Retirement Planning_score,Health Insurance_score,Checking Account_score,Savings Account_score,Other Investments_score,Other Retirement Accounts_score,Overdraw_score,Credit Card Balance Interest_score,Number of Credit Cards_score,Total_Score,FinLit_Level
Michigan,East North Central,Midwest,Male,45-54,Male 45-54,High school graduate - regular high school diploma,"At least $50,000 but less than $75,000",Yes,Yes,Yes,No,No,4 to 8,Yes,No,Yes,Yes,Slightly disagree,5,1,3,5,3,3,1,1,1,1,3,22,Average
Massachusetts,New England,Northeast,Male,55-64,Male 55-64,Associate's degree,"At least $100,000 but less than $150,000",Yes,Yes,No,Yes,Yes,1,No,Yes,Yes,No,Strongly agree,6,5,3,1,3,3,3,3,3,3,2,29,Moderately High
New Jersey,Middle Atlantic,Northeast,Male,45-54,Male 45-54,"Some college, no degree","At least $100,000 but less than $150,000",Yes,Yes,No,Yes,Yes,4 to 8,No,Yes,Yes,Yes,Strongly agree,6,5,3,5,3,3,3,3,3,3,3,34,High
Minnesota,West North Central,Midwest,Male,45-54,Male 45-54,"Some college, no degree","At least $25,000 but less than $35,000",Yes,Yes,No,No,,No credit cards,,No,No,Yes,Strongly agree,4,1,1,5,3,3,1,,3,,1,18,Moderately Low
Wisconsin,East North Central,Midwest,Female,25-34,Female 25-34,Associate's degree,"At least $100,000 but less than $150,000",Yes,Yes,No,Yes,Yes,4 to 8,No,No,Yes,Yes,Strongly agree,6,1,3,5,3,3,3,3,3,3,3,30,Moderately High
Texas,West South Central,South,Female,45-54,Female 45-54,"Some college, no degree","At least $35,000 but less than $50,000",Yes,Yes,No,Prefer not to say,,Prefer not to say,,Yes,Don't know,No,Strongly agree,7,5,0,1,3,3,0,,3,,0,15,Moderately Low
Texas,West South Central,South,Male,35-44,Male 35-44,"Some college, no degree","At least $50,000 but less than $75,000",Yes,Yes,No,Yes,Yes,9 to 12,Yes,Yes,Don't know,Yes,Moderately agree,4,5,0,5,3,3,3,3,3,1,1,27,Moderately High
Illinois,East North Central,Midwest,Female,25-34,Female 25-34,Associate's degree,"At least $100,000 but less than $150,000",Yes,Yes,No,No,Yes,4 to 8,Yes,No,Yes,Yes,Slightly agree,5,1,3,5,3,3,1,3,3,1,3,26,Average
California,Pacific,West,Female,55-64,Female 55-64,"Some college, no degree","At least $35,000 but less than $50,000",Yes,No,No,No,,2 to 3,No,Don't know,No,Yes,Strongly agree,1,0,1,5,3,1,1,,3,3,3,20,Average
Florida,South Atlantic,South,Female,55-64,Female 55-64,High school graduate - regular high school diploma,"At least $25,000 but less than $35,000",Yes,No,No,No,,4 to 8,Yes,No,,No,Strongly agree,4,1,,1,3,1,1,,3,1,3,14,Moderately Low
Virginia,South Atlantic,South,Male,45-54,Male 45-54,Did not complete high school,"At least $75,000 but less than $100,000",Yes,Yes,No,Yes,Yes,4 to 8,Yes,No,No,Yes,Strongly agree,5,1,1,5,3,3,3,3,3,1,3,26,Average
Texas,West South Central,South,Male,35-44,Male 35-44,"Some college, no degree","At least $150,000 but less than $200,000",Yes,Yes,Yes,Yes,Yes,4 to 8,No,Yes,No,Yes,Slightly agree,4,5,1,5,3,3,3,3,1,3,3,30,Moderately High
Ohio,East North Central,Midwest,Male,45-54,Male 45-54,Associate's degree,"At least $100,000 but less than $150,000",Yes,Yes,No,No,,2 to 3,Yes,No,No,Yes,Slightly disagree,3,1,1,5,3,3,1,,3,1,3,21,Average
Missouri,West North Central,Midwest,Male,25-34,Male 25-34,"Some college, no degree","At least $15,000 but less than $25,000",Yes,Yes,No,No,,No credit cards,,Yes,No,Yes,Slightly agree,5,5,1,5,3,3,1,,3,,1,22,Average
New Mexico,Mountain,West,Male,55-64,Male 55-64,Associate's degree,"At least $100,000 but less than $150,000",Yes,Yes,No,Yes,,4 to 8,No,Yes,,Yes,Strongly agree,6,5,,5,3,3,3,,3,3,3,28,Moderately High
Massachusetts,New England,Northeast,Female,55-64,Female 55-64,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",Yes,Yes,No,Yes,Yes,2 to 3,No,Yes,No,Yes,Strongly agree,5,5,1,5,3,3,3,3,3,3,3,32,Moderately High
Minnesota,West North Central,Midwest,Female,45-54,Female 45-54,High school graduate - regular high school diploma,"At least $35,000 but less than $50,000",No,No,,,Yes,No credit cards,,No,No,Yes,Strongerly disagree,3,1,1,5,1,1,,3,,,1,13,Moderately Low
California,Pacific,West,Female,35-44,Female 35-44,"Some college, no degree","At least $150,000 but less than $200,000",Yes,Yes,No,Yes,,4 to 8,Yes,No,No,Yes,Moderately agree,5,1,1,5,3,3,3,,3,1,3,23,Average
Nebraska,West North Central,Midwest,Female,45-54,Female 45-54,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,No,No,Yes,,4 to 8,Yes,No,No,Yes,Moderately agree,6,1,1,5,3,1,3,,3,1,3,21,Average
California,Pacific,West,Male,55-64,Male 55-64,Associate's degree,"At least $75,000 but less than $100,000",Yes,Yes,No,No,,More than 20,Yes,No,Yes,Yes,Neither agree nor disagree,7,1,3,5,3,3,1,,3,1,0,20,Average
Pennsylvania,Middle Atlantic,Northeast,Female,35-44,Female 35-44,High school graduate - regular high school diploma,"At least $75,000 but less than $100,000",Yes,No,Don't know,Don't know,,Don't know,,Don't know,No,No,Neither agree nor disagree,4,0,1,1,3,1,0,,0,,0,6,Low
New York,Middle Atlantic,Northeast,Female,25-34,Female 25-34,High school graduate - GED or alternative credential,"At least $35,000 but less than $50,000",Yes,No,No,No,,2 to 3,Yes,Yes,No,Yes,Moderately disagree,4,5,1,5,3,1,1,,3,1,3,23,Average
Massachusetts,New England,Northeast,Male,65+,Male 65+,High school graduate - regular high school diploma,"At least $15,000 but less than $25,000",Yes,Yes,No,Yes,,4 to 8,No,Yes,,Yes,Slightly agree,4,5,,5,3,3,3,,3,3,3,28,Moderately High
Oklahoma,West South Central,South,Female,65+,Female 65+,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",Yes,Yes,No,No,,2 to 3,Yes,Yes,,Yes,Strongly agree,5,5,,5,3,3,1,,3,1,3,24,Average
Michigan,East North Central,Midwest,Female,45-54,Female 45-54,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,No,Prefer not to say,No,2 to 3,Yes,Yes,No,Yes,Strongly agree,6,5,1,5,3,3,0,1,3,1,3,25,Average
Missouri,West North Central,Midwest,Female,45-54,Female 45-54,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",Yes,No,No,No,,No credit cards,,No,No,No,Neither agree nor disagree,5,1,1,1,3,1,1,,3,,1,12,Low
Maryland,South Atlantic,South,Male,65+,Male 65+,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,No,Yes,,4 to 8,No,No,,Yes,Slightly agree,5,1,,5,3,3,3,,3,3,3,24,Average
Tennessee,East South Central,South,Female,55-64,Female 55-64,High school graduate - regular high school diploma,"At least $50,000 but less than $75,000",Yes,No,Yes,No,,No credit cards,,No,No,No,Slightly agree,5,1,1,1,3,1,1,,1,,1,10,Low
Massachusetts,New England,Northeast,Female,55-64,Female 55-64,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,Yes,Yes,Yes,2 to 3,No,Yes,Yes,Yes,Strongly agree,5,5,3,5,3,3,3,3,1,3,3,32,Moderately High
Wisconsin,East North Central,Midwest,Female,35-44,Female 35-44,High school graduate - regular high school diploma,"At least $35,000 but less than $50,000",No,Yes,,No,,No credit cards,,No,No,No,Neither agree nor disagree,4,1,1,1,1,3,1,,,,1,9,Low
Maryland,South Atlantic,South,Female,55-64,Female 55-64,High school graduate - GED or alternative credential,"At least $75,000 but less than $100,000",No,No,,,,2 to 3,Yes,No,,No,Strongly agree,3,1,,1,1,1,,,,1,3,8,Low
South Carolina,South Atlantic,South,Male,45-54,Male 45-54,High school graduate - regular high school diploma,"At least $15,000 but less than $25,000",Yes,Yes,No,No,,No credit cards,,Don't know,Don't know,Prefer not to say,Slightly agree,5,0,0,0,3,3,1,,3,,1,11,Low
New Jersey,Middle Atlantic,Northeast,Female,35-44,Female 35-44,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,No,Yes,No,Yes,Don't know,,Yes,Don't know,Yes,Strongly agree,Don't know,5,0,5,3,1,1,3,1,,0,19,Moderately Low
California,Pacific,West,Female,45-54,Female 45-54,High school graduate - regular high school diploma,"Less than $15,000",No,No,,,,No credit cards,,No,No,No,Neither agree nor disagree,5,1,1,1,1,1,,,,,1,6,Low
Texas,West South Central,South,Female,55-64,Female 55-64,"Some college, no degree","At least $100,000 but less than $150,000",Yes,Yes,No,Yes,Yes,4 to 8,Yes,Yes,Yes,Yes,Strongly agree,7,5,3,5,3,3,3,3,3,1,3,32,Moderately High
California,Pacific,West,Female,45-54,Female 45-54,"Some college, no degree","At least $50,000 but less than $75,000",Yes,Yes,No,Prefer not to say,Prefer not to say,2 to 3,Yes,Yes,No,Yes,Slightly agree,3,5,1,5,3,3,0,0,3,1,3,24,Average
Maine,New England,Northeast,Male,65+,Male 65+,High school graduate - regular high school diploma,"At least $15,000 but less than $25,000",No,Yes,,No,,No credit cards,,Yes,,Yes,Neither agree nor disagree,5,5,,5,1,3,1,,,,1,16,Moderately Low
New York,Middle Atlantic,Northeast,Male,55-64,Male 55-64,High school graduate - GED or alternative credential,"At least $150,000 but less than $200,000",Yes,Yes,No,Yes,Yes,9 to 12,No,Yes,Yes,Yes,Strongly agree,5,5,3,5,3,3,3,3,3,3,1,32,Moderately High
Alabama,East South Central,South,Female,35-44,Female 35-44,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,Yes,Yes,,No credit cards,,No,Yes,Yes,Moderately disagree,3,1,3,5,3,3,3,,1,,1,20,Average
Maryland,South Atlantic,South,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"At least $15,000 but less than $25,000",Yes,No,Yes,No,,1,Yes,No,No,No,Moderately agree,6,1,1,1,3,1,1,,1,1,2,12,Low
Texas,West South Central,South,Female,55-64,Female 55-64,"Some college, no degree","At least $50,000 but less than $75,000",Yes,Yes,No,No,Yes,4 to 8,Yes,No,Yes,Yes,Strongly agree,5,1,3,5,3,3,1,3,3,1,3,26,Average
Kansas,West North Central,Midwest,Male,45-54,Male 45-54,High school graduate - regular high school diploma,"At least $15,000 but less than $25,000",Yes,Yes,Yes,No,,No credit cards,,No,No,Yes,Moderately agree,6,1,1,5,3,3,1,,1,,1,16,Moderately Low
Ohio,East North Central,Midwest,Female,35-44,Female 35-44,"Some college, no degree","At least $35,000 but less than $50,000",Yes,Yes,Yes,No,,No credit cards,,No,No,Yes,Moderately agree,4,1,1,5,3,3,1,,1,,1,16,Moderately Low
Pennsylvania,Middle Atlantic,Northeast,Male,55-64,Male 55-64,"Some college, no degree","At least $15,000 but less than $25,000",Yes,Yes,No,Yes,,4 to 8,No,Yes,,No,Strongly agree,6,5,,1,3,3,3,,3,3,3,24,Average
Texas,West South Central,South,Male,35-44,Male 35-44,High school graduate - regular high school diploma,"At least $25,000 but less than $35,000",Yes,No,No,No,,No credit cards,,Don't know,Don't know,No,Neither agree nor disagree,Don't know,0,0,1,3,1,1,,3,,1,10,Low
California,Pacific,West,Male,65+,Male 65+,"Some college, no degree","At least $25,000 but less than $35,000",Yes,Yes,No,No,,No credit cards,,No,,Yes,Strongly agree,5,1,,5,3,3,1,,3,,1,17,Moderately Low
Louisiana,West South Central,South,Female,45-54,Female 45-54,High school graduate - regular high school diploma,"Less than $15,000",Yes,No,No,No,,4 to 8,Yes,No,No,No,Strongly agree,4,1,1,1,3,1,1,,3,1,3,15,Moderately Low
Alabama,East South Central,South,Female,35-44,Female 35-44,High school graduate - GED or alternative credential,"Less than $15,000",Yes,No,No,No,,1,Yes,No,No,No,Strongly agree,5,1,1,1,3,1,1,,3,1,2,14,Moderately Low
Oregon,Pacific,West,Male,45-54,Male 45-54,High school graduate - GED or alternative credential,"At least $15,000 but less than $25,000",Yes,No,Yes,No,,No credit cards,,No,No,No,Neither agree nor disagree,3,1,1,1,3,1,1,,1,,1,10,Low
Michigan,East North Central,Midwest,Male,55-64,Male 55-64,High school graduate - GED or alternative credential,"At least $75,000 but less than $100,000",Yes,Yes,Yes,No,Yes,4 to 8,No,Yes,Yes,Yes,Moderately agree,5,5,3,5,3,3,1,3,1,3,3,30,Moderately High
Minnesota,West North Central,Midwest,Male,45-54,Male 45-54,High school graduate - regular high school diploma,"At least $35,000 but less than $50,000",Yes,No,No,No,No,2 to 3,Yes,Yes,Yes,No,Moderately agree,5,5,3,1,3,1,1,1,3,1,3,22,Average
Iowa,West North Central,Midwest,Male,35-44,Male 35-44,Associate's degree,"At least $75,000 but less than $100,000",Yes,Yes,No,No,No,1,No,No,No,Yes,Neither agree nor disagree,2,1,1,5,3,3,1,1,3,3,2,23,Average
Texas,West South Central,South,Male,55-64,Male 55-64,"Some college, no degree","At least $50,000 but less than $75,000",Yes,Yes,No,Yes,Yes,2 to 3,Yes,Yes,Yes,Yes,Moderately agree,6,5,3,5,3,3,3,3,3,1,3,32,Moderately High
New York,Middle Atlantic,Northeast,Male,35-44,Male 35-44,"Some college, no degree","At least $75,000 but less than $100,000",Yes,Yes,No,No,Yes,2 to 3,No,Yes,No,Yes,Moderately agree,5,5,1,5,3,3,1,3,3,3,3,30,Moderately High
Minnesota,West North Central,Midwest,Male,35-44,Male 35-44,"Some college, no degree","At least $100,000 but less than $150,000",Yes,Yes,No,Yes,Yes,9 to 12,Yes,No,Yes,Yes,Strongly agree,6,1,3,5,3,3,3,3,3,1,1,26,Average
Indiana,East North Central,Midwest,Female,25-34,Female 25-34,"Some college, no degree","At least $35,000 but less than $50,000",Yes,Yes,No,No,,4 to 8,Yes,No,No,No,Strongly agree,5,1,1,1,3,3,1,,3,1,3,17,Moderately Low
Missouri,West North Central,Midwest,Female,45-54,Female 45-54,Did not complete high school,"At least $35,000 but less than $50,000",No,Yes,,No,,No credit cards,,Don't know,,Don't know,Neither agree nor disagree,5,0,,0,1,3,1,,,,1,6,Low
California,Pacific,West,Male,35-44,Male 35-44,"Some college, no degree","At least $100,000 but less than $150,000",Yes,No,No,Yes,Yes,4 to 8,No,Yes,No,Yes,Strongly agree,6,5,1,5,3,1,3,3,3,3,3,30,Moderately High
Maine,New England,Northeast,Male,45-54,Male 45-54,High school graduate - regular high school diploma,"At least $35,000 but less than $50,000",Yes,Yes,No,No,,9 to 12,Yes,No,No,No,Strongly agree,6,1,1,1,3,3,1,,3,1,1,15,Moderately Low
Connecticut,New England,Northeast,Male,45-54,Male 45-54,Associate's degree,"At least $150,000 but less than $200,000",Yes,Yes,No,Yes,Yes,4 to 8,No,Yes,No,Yes,Strongly agree,5,5,1,5,3,3,3,3,3,3,3,32,Moderately High
Oregon,Pacific,West,Male,65+,Male 65+,"Some college, no degree","At least $100,000 but less than $150,000",Yes,Yes,No,Yes,,1,No,No,,Yes,Moderately agree,6,1,,5,3,3,3,,3,3,2,23,Average
Illinois,East North Central,Midwest,Male,55-64,Male 55-64,High school graduate - GED or alternative credential,"Less than $15,000",Yes,No,No,No,,No credit cards,,No,No,No,Strongly agree,6,1,1,1,3,1,1,,3,,1,12,Low
New York,Middle Atlantic,Northeast,Male,45-54,Male 45-54,High school graduate - regular high school diploma,"At least $50,000 but less than $75,000",Yes,Yes,No,Yes,,4 to 8,Yes,Yes,,Yes,Strongly agree,7,5,,5,3,3,3,,3,1,3,26,Average
Iowa,West North Central,Midwest,Male,35-44,Male 35-44,Associate's degree,"At least $25,000 but less than $35,000",Yes,Yes,Prefer not to say,Prefer not to say,,Prefer not to say,,Prefer not to say,Prefer not to say,Yes,Neither agree nor disagree,4,0,0,5,3,3,0,,0,,0,11,Low
South Carolina,South Atlantic,South,Female,45-54,Female 45-54,High school graduate - GED or alternative credential,"At least $35,000 but less than $50,000",Yes,Yes,No,No,Yes,4 to 8,Yes,No,Yes,Yes,Neither agree nor disagree,5,1,3,5,3,3,1,3,3,1,3,26,Average
North Carolina,South Atlantic,South,Male,55-64,Male 55-64,High school graduate - GED or alternative credential,"At least $35,000 but less than $50,000",Yes,Yes,No,Yes,Yes,2 to 3,No,Yes,Yes,Yes,Slightly disagree,5,5,3,5,3,3,3,3,3,3,3,34,High
Iowa,West North Central,Midwest,Female,45-54,Female 45-54,High school graduate - regular high school diploma,"At least $50,000 but less than $75,000",Yes,Yes,Yes,No,Yes,4 to 8,Yes,No,Yes,Yes,Strongly agree,7,1,3,5,3,3,1,3,1,1,3,24,Average
Mississippi,East South Central,South,Male,45-54,Male 45-54,High school graduate - GED or alternative credential,"At least $100,000 but less than $150,000",Yes,Yes,No,Yes,Yes,2 to 3,Yes,Yes,Yes,Yes,Strongly agree,6,5,3,5,3,3,3,3,3,1,3,32,Moderately High
Illinois,East North Central,Midwest,Female,25-34,Female 25-34,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",Yes,Yes,No,No,,1,Yes,No,No,No,Moderately agree,4,1,1,1,3,3,1,,3,1,2,16,Moderately Low
Delaware,South Atlantic,South,Male,35-44,Male 35-44,High school graduate - GED or alternative credential,"At least $150,000 but less than $200,000",Yes,Yes,No,Yes,No,1,Yes,No,Yes,Yes,Strongly agree,5,1,3,5,3,3,3,1,3,1,2,25,Average
Nebraska,West North Central,Midwest,Male,45-54,Male 45-54,"Some college, no degree","At least $50,000 but less than $75,000",Yes,Yes,No,Yes,Yes,2 to 3,No,Yes,Yes,Yes,Strongly agree,7,5,3,5,3,3,3,3,3,3,3,34,High
Ohio,East North Central,Midwest,Female,25-34,Female 25-34,Associate's degree,"At least $50,000 but less than $75,000",Yes,No,No,No,,9 to 12,Yes,No,No,Yes,Moderately agree,4,1,1,5,3,1,1,,3,1,1,17,Moderately Low
North Carolina,South Atlantic,South,Female,45-54,Female 45-54,Associate's degree,"At least $100,000 but less than $150,000",Yes,Yes,Yes,Yes,Yes,4 to 8,Yes,No,Yes,Yes,Strongly agree,5,1,3,5,3,3,3,3,1,1,3,26,Average
Missouri,West North Central,Midwest,Female,25-34,Female 25-34,Associate's degree,"At least $75,000 but less than $100,000",Yes,Yes,No,Yes,Yes,4 to 8,Yes,No,Yes,Yes,Slightly agree,3,1,3,5,3,3,3,3,3,1,3,28,Moderately High
Pennsylvania,Middle Atlantic,Northeast,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,No,Prefer not to say,,No credit cards,,Prefer not to say,No,Yes,Moderately agree,5,0,1,5,3,3,0,,3,,1,16,Moderately Low
New Jersey,Middle Atlantic,Northeast,Female,45-54,Female 45-54,Associate's degree,"At least $150,000 but less than $200,000",Yes,Yes,No,Yes,Yes,4 to 8,No,Yes,Yes,Yes,Moderately agree,6,5,3,5,3,3,3,3,3,3,3,34,High
Connecticut,New England,Northeast,Female,35-44,Female 35-44,"Some college, no degree","At least $15,000 but less than $25,000",Yes,Yes,No,No,,1,No,No,No,Yes,Moderately agree,5,1,1,5,3,3,1,,3,3,2,22,Average
California,Pacific,West,Male,45-54,Male 45-54,High school graduate - GED or alternative credential,"At least $150,000 but less than $200,000",Yes,Yes,No,Yes,Yes,2 to 3,No,Yes,Yes,Yes,Strongly agree,6,5,3,5,3,3,3,3,3,3,3,34,High
Georgia,South Atlantic,South,Female,25-34,Female 25-34,"Some college, no degree","At least $35,000 but less than $50,000",Yes,Yes,No,Yes,Yes,9 to 12,No,No,Yes,Yes,Strongly agree,5,1,3,5,3,3,3,3,3,3,1,28,Moderately High
Florida,South Atlantic,South,Male,55-64,Male 55-64,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",Yes,Yes,No,Yes,No,No credit cards,,No,Yes,Yes,Neither agree nor disagree,3,1,3,5,3,3,3,1,3,,1,23,Average
Texas,West South Central,South,Female,35-44,Female 35-44,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,Yes,Yes,No,No credit cards,,No,No,Yes,Slightly agree,7,1,1,5,3,3,3,1,1,,1,19,Moderately Low
Missouri,West North Central,Midwest,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,No,No,,4 to 8,Yes,No,Yes,Yes,Moderately agree,5,1,3,5,3,3,1,,3,1,3,23,Average
Florida,South Atlantic,South,Female,25-34,Female 25-34,"Some college, no degree","At least $25,000 but less than $35,000",Yes,Yes,No,No,No,4 to 8,Yes,No,No,Yes,Moderately agree,6,1,1,5,3,3,1,1,3,1,3,22,Average
Kentucky,East South Central,South,Female,25-34,Female 25-34,Associate's degree,"At least $150,000 but less than $200,000",Yes,Yes,No,Yes,Yes,4 to 8,Yes,Yes,Yes,Yes,Strongerly disagree,6,5,3,5,3,3,3,3,3,1,3,32,Moderately High
California,Pacific,West,Female,55-64,Female 55-64,High school graduate - regular high school diploma,"At least $50,000 but less than $75,000",Yes,Yes,No,Yes,Yes,2 to 3,No,Yes,Yes,Yes,Moderately agree,5,5,3,5,3,3,3,3,3,3,3,34,High
California,Pacific,West,Female,25-34,Female 25-34,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,Yes,No,,9 to 12,Yes,No,No,Yes,Moderately agree,5,1,1,5,3,3,1,,1,1,1,17,Moderately Low
New York,Middle Atlantic,Northeast,Male,65+,Male 65+,"Some college, no degree","At least $50,000 but less than $75,000",Yes,Yes,No,Yes,,4 to 8,Yes,Yes,,Yes,Strongly agree,5,5,,5,3,3,3,,3,1,3,26,Average
California,Pacific,West,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"At least $75,000 but less than $100,000",Yes,Yes,No,No,Yes,4 to 8,Yes,No,Yes,No,Strongly agree,6,1,3,1,3,3,1,3,3,1,3,22,Average
Virginia,South Atlantic,South,Female,18-24,Female 18-24,High school graduate - regular high school diploma,"Less than $15,000",Prefer not to say,Prefer not to say,,Prefer not to say,,Prefer not to say,,Yes,Don't know,Yes,Prefer not to say,Don't know,5,0,5,0,0,0,,,,0,10,Low
Illinois,East North Central,Midwest,Female,45-54,Female 45-54,High school graduate - regular high school diploma,"Less than $15,000",Yes,Yes,No,No,,2 to 3,No,No,No,Yes,Neither agree nor disagree,3,1,1,5,3,3,1,,3,3,3,23,Average
Colorado,Mountain,West,Male,45-54,Male 45-54,"Some college, no degree","At least $100,000 but less than $150,000",Yes,Yes,No,Yes,Yes,More than 20,No,Yes,Yes,Yes,Strongly agree,5,5,3,5,3,3,3,3,3,3,0,31,Moderately High
